id,season_2019-2020,league,club,stadium,capacity,street,postcode,city,federal_state,latitude,longitude,homepage,wikipedia_de,wikipedia_en,openstreetmap_object
1,germany_league_1,Bundesliga,FC Bayern München,Allianz Arena,75.000,Werner-Heisenberg-Allee 25,80939,München,BY,48.21880,11.62465,fcbayern.com,https://de.wikipedia.org/wiki/FC_Bayern_M%C3%BCnchen,https://en.wikipedia.org/wiki/FC_Bayern_Munich,https://www.openstreetmap.org/way/4431170
2,germany_league_1,Bundesliga,Borussia Dortmund,Signal Iduna Park,81.365,Strobelallee 50,44139,Dortmund,NW,51.49257,7.45177,bvb.de,https://de.wikipedia.org/wiki/Borussia_Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,https://www.openstreetmap.org/relation/531985
3,germany_league_1,Bundesliga,RB Leipzig,Red Bull Arena,42.959,Am Sportforum 2,04105,Leipzig,SN,51.34579,12.34823,dierotenbullen.com,https://de.wikipedia.org/wiki/RB_Leipzig,https://en.wikipedia.org/wiki/RB_Leipzig,https://www.openstreetmap.org/way/8015060
4,germany_league_1,Bundesliga,Bayer Leverkusen,BayArena,30.210,Bismarckstraße 122-124,51373,Leverkusen,NW,51.03822,7.00221,bayer04.de,https://de.wikipedia.org/wiki/Bayer_04_Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,https://www.openstreetmap.org/relation/5403784
5,germany_league_1,Bundesliga,Borussia Mönchengladbach,Borussia-Park,54.022,Hennes Weisweiler Allee 1,41179,Mönchengladbach,NW,51.17463,6.38539,borussia.de,https://de.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,https://de.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,https://www.openstreetmap.org/way/41910550
6,germany_league_1,Bundesliga,VFL Wolfsburg,Volkswagen Arena,30.000,In den Allerwiesen 1,38446,Wolfsburg,NI,52.43268,10.80385,vfl-wolfsburg.de,https://de.wikipedia.org/wiki/VfL_Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,https://www.openstreetmap.org/relation/557478
7,germany_league_1,Bundesliga,Eintracht Frankfurt,Commerzbank Arena,51.500,Mörfelder Landstraße 362,60528,Frankfurt am Main,HE,50.06860,8.64552,eintracht-frankfurt.de,https://de.wikipedia.org/wiki/Eintracht_Frankfurt,https://en.wikipedia.org/wiki/Eintracht_Frankfurt,https://www.openstreetmap.org/way/5117941
8,germany_league_1,Bundesliga,Werder Bremen,Weser-Stadion,42.100,Franz-Böhmert-Straße 1,28205,Bremen,HB,53.06644,8.83762,werder.de,https://de.wikipedia.org/wiki/Werder_Bremen,https://en.wikipedia.org/wiki/Werder_Bremen,https://www.openstreetmap.org/way/160379314
9,germany_league_1,Bundesliga,TSG 1899 Hoffenheim,Dietmar-Hopp-Stadion,30.150,Silbergasse 45,74889,Sinsheim,BW,49.27827,8.84216,achtzehn99.de,https://de.wikipedia.org/wiki/TSG_1899_Hoffenheim,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,https://www.openstreetmap.org/way/28482163
10,germany_league_1,Bundesliga,Fortuna Düsseldorf,Merkur Spiel-Arena,54.600,Arena-Straße 1,40474,Düsseldorf,NW,51.26164,6.73314,f95.de,https://de.wikipedia.org/wiki/Fortuna_D%C3%BCsseldorf,https://en.wikipedia.org/wiki/Fortuna_Düsseldorf,https://www.openstreetmap.org/way/24547706
